sleutel,waarde_exact,weergave,omschrijving
mi_eq_k_z_zv75_x_gem,104.5091736,105%,"equivalentiegraad, koppel, ziekte, ZV75, maand -: gemiddelde over de posities"
mi_eq_k_z_zv75_x_vc,0.398553095,"0,40","equivalentiegraad, koppel, ziekte, ZV75, maand -: variatiecoëfficiënt"
mi_eq_x_p_wn_x_eerste_ge100,9000,€9.000,"equivalentiegraad, -, pensioen, WN, maand -: eerste positie met minstens 100%"
mi_eq_x_p_wn_x_gem,67.05732648,67%,"equivalentiegraad, -, pensioen, WN, maand -: gemiddelde over de posities"
mi_eq_x_p_wn_x_p15000,173.5238771,174%,"equivalentiegraad, -, pensioen, WN, maand -: waarde bij €15000"
mi_eq_x_p_wn_x_vc,0.6683399372,"0,67","equivalentiegraad, -, pensioen, WN, maand -: variatiecoëfficiënt"
mi_eq_x_p_ze_x_gem,58.85637112,59%,"equivalentiegraad, -, pensioen, ZE, maand -: gemiddelde over de posities"
mi_eq_x_p_ze_x_p15000,68.67807924,69%,"equivalentiegraad, -, pensioen, ZE, maand -: waarde bij €15000"
mi_eq_x_p_ze_x_vc,0.2388777171,"0,24","equivalentiegraad, -, pensioen, ZE, maand -: variatiecoëfficiënt"
mi_eq_x_p_zv00_x_gem,19.55678384,20%,"equivalentiegraad, -, pensioen, ZV00, maand -: gemiddelde over de posities"
mi_eq_x_p_zv00_x_vc,1.419230066e-16,"0,00","equivalentiegraad, -, pensioen, ZV00, maand -: variatiecoëfficiënt"
mi_eq_x_p_zv100_x_gem,60.27287879,60%,"equivalentiegraad, -, pensioen, ZV100, maand -: gemiddelde over de posities"
mi_eq_x_p_zv100_x_p15000,69.94261585,70%,"equivalentiegraad, -, pensioen, ZV100, maand -: waarde bij €15000"
mi_eq_x_p_zv100_x_p1550,24.93155652,25%,"equivalentiegraad, -, pensioen, ZV100, maand -: waarde bij €1550"
mi_eq_x_p_zv100_x_vc,0.222089978,"0,22","equivalentiegraad, -, pensioen, ZV100, maand -: variatiecoëfficiënt"
mi_eq_x_p_zv50_x_gem,44.46616205,44%,"equivalentiegraad, -, pensioen, ZV50, maand -: gemiddelde over de posities"
mi_eq_x_p_zv50_x_p1550,19.55678384,20%,"equivalentiegraad, -, pensioen, ZV50, maand -: waarde bij €1550"
mi_eq_x_p_zv50_x_vc,0.3817602606,"0,38","equivalentiegraad, -, pensioen, ZV50, maand -: variatiecoëfficiënt"
mi_eq_x_p_zv75_x_gem,54.27092181,54%,"equivalentiegraad, -, pensioen, ZV75, maand -: gemiddelde over de posities"
mi_eq_x_p_zv75_x_vc,0.2970791561,"0,30","equivalentiegraad, -, pensioen, ZV75, maand -: variatiecoëfficiënt"
mi_gg_a_w_wn_m13_p1550,91.8613241,92%,"garantiegraad, alleen, werkloosheid, WN, maand 1-3: waarde bij €1550"
mi_gg_a_w_wn_m13_p2500,123.5097486,124%,"garantiegraad, alleen, werkloosheid, WN, maand 1-3: waarde bij €2500"
mi_gg_a_w_wn_m46_p2500,117.8367078,118%,"garantiegraad, alleen, werkloosheid, WN, maand 4-6: waarde bij €2500"
mi_gg_a_w_wn_m712_p2500,113.2069929,113%,"garantiegraad, alleen, werkloosheid, WN, maand 7-12: waarde bij €2500"
mi_gg_a_z_wn_m2_p1550,85.10413529,85%,"garantiegraad, alleen, ziekte, WN, maand 2: waarde bij €1550"
mi_gg_a_z_wn_m712_p1550,104.6724361,105%,"garantiegraad, alleen, ziekte, WN, maand 7-12: waarde bij €1550"
mi_gg_a_z_wn_m712_p3000,146.1618576,146%,"garantiegraad, alleen, ziekte, WN, maand 7-12: waarde bij €3000"
mi_gg_a_z_zs_x_p1550,104.6724361,105%,"garantiegraad, alleen, ziekte, ZS, maand -: waarde bij €1550"
mi_gg_x_p_wn_x_p15000,172.3174622,172%,"garantiegraad, -, pensioen, WN, maand -: waarde bij €15000"
mi_gg_x_p_ze_x_p15000,165.9179605,166%,"garantiegraad, -, pensioen, ZE, maand -: waarde bij €15000"
mi_gg_x_p_ze_x_start_tot,2000,€2.000,"garantiegraad, -, pensioen, ZE, maand -: laatste positie met dezelfde waarde als op €1.550"
mi_gg_x_p_zv50_x_start_tot,4250,€4.250,"garantiegraad, -, pensioen, ZV50, maand -: laatste positie met dezelfde waarde als op €1.550"
mi_gg_x_p_zv75_x_start_tot,2750,€2.750,"garantiegraad, -, pensioen, ZV75, maand -: laatste positie met dezelfde waarde als op €1.550"
mi_vv_a_w_wn_m13_gem,39.95033562,40%,"vervangingsgraad, alleen, werkloosheid, WN, maand 1-3: gemiddelde over de posities"
mi_vv_a_w_wn_m13_vc,0.5388203533,"0,54","vervangingsgraad, alleen, werkloosheid, WN, maand 1-3: variatiecoëfficiënt"
mi_vv_a_w_zs_x_gem,36.14735286,36%,"vervangingsgraad, alleen, werkloosheid, ZS, maand -: gemiddelde over de posities"
mi_vv_a_w_zs_x_vc,0.6391036658,"0,64","vervangingsgraad, alleen, werkloosheid, ZS, maand -: variatiecoëfficiënt"
mi_vv_a_z_wn_m2_gem,44.68549018,45%,"vervangingsgraad, alleen, ziekte, WN, maand 2: gemiddelde over de posities"
mi_vv_a_z_wn_m2_p15000,14.99121555,15%,"vervangingsgraad, alleen, ziekte, WN, maand 2: waarde bij €15000"
mi_vv_a_z_wn_m2_p1550,84.47053761,84%,"vervangingsgraad, alleen, ziekte, WN, maand 2: waarde bij €1550"
mi_vv_a_z_wn_m2_p2000,65.46466665,65%,"vervangingsgraad, alleen, ziekte, WN, maand 2: waarde bij €2000"
mi_vv_a_z_wn_m2_p2500,80.73992724,81%,"vervangingsgraad, alleen, ziekte, WN, maand 2: waarde bij €2500"
mi_vv_a_z_wn_m2_vc,0.472462437,"0,47","vervangingsgraad, alleen, ziekte, WN, maand 2: variatiecoëfficiënt"
mi_vv_a_z_wn_m36_p1550,90.32258065,90%,"vervangingsgraad, alleen, ziekte, WN, maand 3-6: waarde bij €1550"
mi_vv_a_z_wn_m712_gem,46.19082086,46%,"vervangingsgraad, alleen, ziekte, WN, maand 7-12: gemiddelde over de posities"
mi_vv_a_z_wn_m712_p1550,103.893153,104%,"vervangingsgraad, alleen, ziekte, WN, maand 7-12: waarde bij €1550"
mi_vv_a_z_zs_x_gem,36.08869579,36%,"vervangingsgraad, alleen, ziekte, ZS, maand -: gemiddelde over de posities"
mi_vv_a_z_zs_x_p15000,10.73562581,11%,"vervangingsgraad, alleen, ziekte, ZS, maand -: waarde bij €15000"
mi_vv_a_z_zs_x_p1550,103.893153,104%,"vervangingsgraad, alleen, ziekte, ZS, maand -: waarde bij €1550"
mi_vv_a_z_zs_x_vc,0.6391036658,"0,64","vervangingsgraad, alleen, ziekte, ZS, maand -: variatiecoëfficiënt"
mi_vv_k_w_wn_m13_gem,39.68562383,40%,"vervangingsgraad, koppel, werkloosheid, WN, maand 1-3: gemiddelde over de posities"
mi_vv_k_w_wn_m13_vc,0.5299779126,"0,53","vervangingsgraad, koppel, werkloosheid, WN, maand 1-3: variatiecoëfficiënt"
mi_vv_k_w_zs_x_gem,36.14735286,36%,"vervangingsgraad, koppel, werkloosheid, ZS, maand -: gemiddelde over de posities"
mi_vv_k_w_zs_x_vc,0.6391036658,"0,64","vervangingsgraad, koppel, werkloosheid, ZS, maand -: variatiecoëfficiënt"
mi_vv_k_z_wn_m2_gem,43.27162981,43%,"vervangingsgraad, koppel, ziekte, WN, maand 2: gemiddelde over de posities"
mi_vv_k_z_wn_m2_vc,0.4493893345,"0,45","vervangingsgraad, koppel, ziekte, WN, maand 2: variatiecoëfficiënt"
mi_vv_k_z_zs_x_gem,27.68143818,28%,"vervangingsgraad, koppel, ziekte, ZS, maand -: gemiddelde over de posities"
mi_vv_k_z_zs_x_vc,0.6391036659,"0,64","vervangingsgraad, koppel, ziekte, ZS, maand -: variatiecoëfficiënt"
mi_vv_x_p_wn_x_gem,51.03295783,51%,"vervangingsgraad, -, pensioen, WN, maand -: gemiddelde over de posities"
mi_vv_x_p_wn_x_p15000,17.67357161,18%,"vervangingsgraad, -, pensioen, WN, maand -: waarde bij €15000"
mi_vv_x_p_wn_x_p1550,108.5717995,109%,"vervangingsgraad, -, pensioen, WN, maand -: waarde bij €1550"
mi_vv_x_p_wn_x_p2250,74.79390636,75%,"vervangingsgraad, -, pensioen, WN, maand -: waarde bij €2250"
mi_vv_x_p_wn_x_p3500,72.10842946,72%,"vervangingsgraad, -, pensioen, WN, maand -: waarde bij €3500"
mi_vv_x_p_wn_x_vc,0.4518999555,"0,45","vervangingsgraad, -, pensioen, WN, maand -: variatiecoëfficiënt"
mi_vv_x_p_ze_x_gem,49.26266304,49%,"vervangingsgraad, -, pensioen, ZE, maand -: gemiddelde over de posities"
mi_vv_x_p_ze_x_p1550,108.5717995,109%,"vervangingsgraad, -, pensioen, ZE, maand -: waarde bij €1550"
mi_vv_x_p_ze_x_p6000,42.54303248,43%,"vervangingsgraad, -, pensioen, ZE, maand -: waarde bij €6000"
mi_vv_x_p_ze_x_vc,0.4603078546,"0,46","vervangingsgraad, -, pensioen, ZE, maand -: variatiecoëfficiënt"
mi_vv_x_p_zv00_x_gem,37.71388712,38%,"vervangingsgraad, -, pensioen, ZV00, maand -: gemiddelde over de posities"
mi_vv_x_p_zv00_x_p6000,28.04771488,28%,"vervangingsgraad, -, pensioen, ZV00, maand -: waarde bij €6000"
mi_vv_x_p_zv00_x_vc,0.6391036658,"0,64","vervangingsgraad, -, pensioen, ZV00, maand -: variatiecoëfficiënt"
mi_vv_x_p_zv100_x_gem,49.33896923,49%,"vervangingsgraad, -, pensioen, ZV100, maand -: gemiddelde over de posities"
mi_vv_x_p_zv100_x_vc,0.4614530883,"0,46","vervangingsgraad, -, pensioen, ZV100, maand -: variatiecoëfficiënt"
mi_vv_x_p_zv50_x_gem,42.30145456,42%,"vervangingsgraad, -, pensioen, ZV50, maand -: gemiddelde over de posities"
mi_vv_x_p_zv50_x_p6000,34.9782828,35%,"vervangingsgraad, -, pensioen, ZV50, maand -: waarde bij €6000"
mi_vv_x_p_zv50_x_vc,0.5006268836,"0,50","vervangingsgraad, -, pensioen, ZV50, maand -: variatiecoëfficiënt"
mi_vv_x_p_zv75_x_gem,46.39284112,46%,"vervangingsgraad, -, pensioen, ZV75, maand -: gemiddelde over de posities"
mi_vv_x_p_zv75_x_vc,0.4525328546,"0,45","vervangingsgraad, -, pensioen, ZV75, maand -: variatiecoëfficiënt"
mi_kak_gelijk_wn,0.07227278397,"0,07","Kakwani-index WN, weging gelijk"
mi_ratio_gelijk_wn,24.59543394,25%,"gemiddelde bijdrage/draagkracht WN, weging gelijk"
mi_kak_silc_wn,0.1831593226,"0,18","Kakwani-index WN, weging silc"
mi_ratio_silc_wn,18.75992408,19%,"gemiddelde bijdrage/draagkracht WN, weging silc"
mi_kak_adi_wn,0.2284295064,"0,23","Kakwani-index WN, weging adi"
mi_ratio_adi_wn,17.15014448,17%,"gemiddelde bijdrage/draagkracht WN, weging adi"
mi_kak_gelijk_ze,-0.1592350071,"-0,16","Kakwani-index ZE, weging gelijk"
mi_ratio_gelijk_ze,26.05926458,26%,"gemiddelde bijdrage/draagkracht ZE, weging gelijk"
mi_kak_silc_ze,0.05702715849,"0,06","Kakwani-index ZE, weging silc"
mi_ratio_silc_ze,28.39103183,28%,"gemiddelde bijdrage/draagkracht ZE, weging silc"
mi_kak_adi_ze,0.03834171114,"0,04","Kakwani-index ZE, weging adi"
mi_ratio_adi_ze,28.35304386,28%,"gemiddelde bijdrage/draagkracht ZE, weging adi"
mi_kak_gelijk_zv100vaa,-0.1642729271,"-0,16","Kakwani-index ZV100VAA, weging gelijk"
mi_ratio_gelijk_zv100vaa,26.90432813,27%,"gemiddelde bijdrage/draagkracht ZV100VAA, weging gelijk"
mi_kak_silc_zv100vaa,0.02865361938,"0,03","Kakwani-index ZV100VAA, weging silc"
mi_ratio_silc_zv100vaa,30.68932593,31%,"gemiddelde bijdrage/draagkracht ZV100VAA, weging silc"
mi_kak_adi_zv100vaa,0.01072926879,"0,01","Kakwani-index ZV100VAA, weging adi"
mi_ratio_adi_zv100vaa,30.57143091,31%,"gemiddelde bijdrage/draagkracht ZV100VAA, weging adi"
mi_kak_gelijk_zv100,-0.1642568729,"-0,16","Kakwani-index ZV100, weging gelijk"
mi_ratio_gelijk_zv100,26.90215185,27%,"gemiddelde bijdrage/draagkracht ZV100, weging gelijk"
mi_kak_silc_zv100,0.02885031008,"0,03","Kakwani-index ZV100, weging silc"
mi_ratio_silc_zv100,30.6815349,31%,"gemiddelde bijdrage/draagkracht ZV100, weging silc"
mi_kak_adi_zv100,0.01093473038,"0,01","Kakwani-index ZV100, weging adi"
mi_ratio_adi_zv100,30.56002114,31%,"gemiddelde bijdrage/draagkracht ZV100, weging adi"
mi_kak_gelijk_zv75,-0.09411938602,"-0,09","Kakwani-index ZV75, weging gelijk"
mi_ratio_gelijk_zv75,21.94225778,22%,"gemiddelde bijdrage/draagkracht ZV75, weging gelijk"
mi_kak_silc_zv75,0.03432139164,"0,03","Kakwani-index ZV75, weging silc"
mi_ratio_silc_zv75,21.88152889,22%,"gemiddelde bijdrage/draagkracht ZV75, weging silc"
mi_kak_adi_zv75,0.0300846716,"0,03","Kakwani-index ZV75, weging adi"
mi_ratio_adi_zv75,21.9863133,22%,"gemiddelde bijdrage/draagkracht ZV75, weging adi"
mi_kak_gelijk_zv50,-0.0116630543,"-0,01","Kakwani-index ZV50, weging gelijk"
mi_ratio_gelijk_zv50,15.68083597,16%,"gemiddelde bijdrage/draagkracht ZV50, weging gelijk"
mi_kak_silc_zv50,-0.05960866324,"-0,06","Kakwani-index ZV50, weging silc"
mi_ratio_silc_zv50,16.01854879,16%,"gemiddelde bijdrage/draagkracht ZV50, weging silc"
mi_kak_adi_zv50,-0.0476506809,"-0,05","Kakwani-index ZV50, weging adi"
mi_ratio_adi_zv50,16.01001423,16%,"gemiddelde bijdrage/draagkracht ZV50, weging adi"
mi_kak_gelijk_zv00,-0.3134500608,"-0,31","Kakwani-index ZV00, weging gelijk"
mi_ratio_gelijk_zv00,7.375623381,7%,"gemiddelde bijdrage/draagkracht ZV00, weging gelijk"
mi_kak_silc_zv00,-0.2135881147,"-0,21","Kakwani-index ZV00, weging silc"
mi_ratio_silc_zv00,14.15502185,14%,"gemiddelde bijdrage/draagkracht ZV00, weging silc"
mi_kak_adi_zv00,-0.2452707428,"-0,25","Kakwani-index ZV00, weging adi"
mi_ratio_adi_zv00,13.77330728,14%,"gemiddelde bijdrage/draagkracht ZV00, weging adi"
mi_gini_rooster,0.3134500608,"0,31",Gini-coëfficiënt van het rooster (gelijke gewichten)
mi_silc_n_zelfstandigen,368,368,BE-SILC 2024 variant A: aantal zelfstandigen (typegevallen)
mi_silc_zs_onder_6250,98.34228326,98%,BE-SILC A: aandeel zelfstandigen op posities onder €6.250
mi_adi_zs_onder_6250,96.43644152,96%,ADI 2023: aandeel zelfstandigen op posities onder €6.250
mi_zone_onder_van,1550,€1.550,zone onder tussengrens: eerste positie
mi_zone_onder_tot,3750,€3.750,zone onder tussengrens: laatste positie
mi_zone_schijf_van,4000,€4.000,zone degressieve schijf: eerste positie
mi_zone_schijf_tot,5000,€5.000,zone degressieve schijf: laatste positie
mi_zone_plafond_van,5250,€5.250,zone boven plafond: eerste positie
mi_zone_plafond_tot,15000,€15.000,zone boven plafond: laatste positie
mi_nbi_laagste_jaar,19955.7043,€19.956,"laagste netto belastbaar inkomen eenmanszaak op het rooster, per jaar"
mi_br_ze_boven_wn_tot,6000,€6.000,laatste positie waar eenmanszaak meer betaalt dan werknemer
mi_br_zv100_boven_wn_tot,6250,€6.250,"idem, vennootschap 100% loon"
mi_br_zv75_onder_wn_vanaf,2750,€2.750,eerste positie (vanaf €2.250) waar ZV75 minder betaalt dan werknemer
mi_br_zv50_onder_wn_vanaf,2500,€2.500,eerste positie (vanaf €2.250) waar ZV50 minder betaalt dan werknemer
mi_br_zv00_onder_wn_vanaf,2500,€2.500,eerste positie (vanaf €2.250) waar ZV00 minder betaalt dan werknemer
mi_eq_p_ze_boven_wn_tot,6250,€6.250,pensioen: laatste positie met hogere equivalentiegraad eenmanszaak dan werknemer
mi_eq_p_zv75_boven_wn_tot,5000,€5.000,"pensioen: idem, vennootschap 75% loon"
mi_vv_z_zs_boven_wn_tot,2000,€2.000,ziekte: laatste positie met minstens even hoge vervangingsgraad zelfstandige als werknemer (maand 7-12)
mi_gg_p_wn_boven_ze_vanaf,2500,€2.500,pensioen: eerste positie met hoger werknemerspensioen
mi_gg_p_wn_max_vanaf,3750,€3.750,pensioen werknemer: eerste positie op (ongeveer) het maximum
mi_gg_z_wn_m2_onder100_tot,2000,€2.000,"garantiegraad ('alleen', 'ziekte', 'WN', '2'): hoogste positie onder 100%"
mi_gg_z_wn_m36_onder100_tot,1550,€1.550,"garantiegraad ('alleen', 'ziekte', 'WN', '3-6'): hoogste positie onder 100%"
mi_gg_w_wn_m13_onder100_tot,2000,€2.000,"garantiegraad ('alleen', 'werkloosheid', 'WN', '1-3'): hoogste positie onder 100%"
mi_budget_alleen,1538.460298,"€1.538,46",referentiebudget alleenstaande
mi_budget_koppel,2757.506756,"€2.757,51",referentiebudget koppel met 2 kinderen
mi_partnerloon_laag,2431.41,"€2.431,41","netto loon partner, laag loon"
mi_partnerloon_gem,3092.99,"€3.092,99","netto loon partner, gemiddeld loon"
mi_eq_p_ze_constant_vanaf,5250,€5.250,equivalentiegraad pensioen ZE: eerste positie van het vlakke stuk
mi_eq_p_zv100_constant_vanaf,5500,€5.500,equivalentiegraad pensioen ZV100: eerste positie van het vlakke stuk
mi_pens_min,1773.35,"€1.773,35",minimumpensioen alleenstaande per maand
mi_pens_max_wn,4024.266,"€4.024,27",maximaal bruto pensioen werknemer per maand
mi_pens_grens_wn,80485.32,"€80.485,32",loongrens pensioenberekening werknemer per jaar
mi_pens_max_zn,3798.876,"€3.798,88",maximaal bruto pensioen zelfstandige per maand
mi_pens_grens_zn,75977.52,"€75.977,52",loongrens pensioenberekening zelfstandige per jaar
mi_pens_plafond_wn_vanaf,3750,€3.750,eerste positie met het maximale pensioen (werknemer)
mi_pens_minimum_wn_tot,2250,€2.250,laatste positie met het minimumpensioen (werknemer)
mi_pens_netto_max_wn,2651.035741,€2.651,hoogste netto pensioen (werknemer)
mi_pens_plafond_ze_vanaf,4000,€4.000,eerste positie met het maximale pensioen (eenmanszaak)
mi_pens_minimum_ze_tot,2000,€2.000,laatste positie met het minimumpensioen (eenmanszaak)
mi_pens_netto_max_ze,2552.581949,€2.553,hoogste netto pensioen (eenmanszaak)
mi_pens_plafond_zv75_vanaf,5250,€5.250,eerste positie met het maximale pensioen (vennootschap 75% loon)
mi_pens_minimum_zv75_tot,2750,€2.750,laatste positie met het minimumpensioen (vennootschap 75% loon)
mi_pens_netto_max_zv75,2552.581949,€2.553,hoogste netto pensioen (vennootschap 75% loon)
mi_pens_plafond_zv50_vanaf,8000,€8.000,eerste positie met het maximale pensioen (vennootschap 50% loon)
mi_pens_minimum_zv50_tot,4250,€4.250,laatste positie met het minimumpensioen (vennootschap 50% loon)
mi_pens_netto_max_zv50,2552.581949,€2.553,hoogste netto pensioen (vennootschap 50% loon)
